Updates,total_num_steps,Last 10 mean_episode_rewards
30,2480,0.1
40,3280,0.6
50,4080,1.0
60,4880,1.8
70,5680,1.4
80,6480,1.2
90,7280,1.8
100,8080,2.8
110,8880,2.2
120,9680,1.7
130,10480,1.8
140,11280,1.4
150,12080,1.3
160,12880,1.0
170,13680,0.7
180,14480,1.2
190,15280,2.0
200,16080,2.1
210,16880,2.0
220,17680,1.6
230,18480,2.1
240,19280,1.9
250,20080,1.6
260,20880,1.4
270,21680,1.2
280,22480,1.2
290,23280,0.8
300,24080,1.1
310,24880,1.3
320,25680,1.1
330,26480,1.2
340,27280,1.2
350,28080,1.3
360,28880,1.1
370,29680,1.6
380,30480,1.8
390,31280,1.2
400,32080,1.4
410,32880,1.6
420,33680,1.3
430,34480,1.2
440,35280,1.2
450,36080,1.6
460,36880,0.9
470,37680,1.2
480,38480,0.9
490,39280,0.4
500,40080,0.3
510,40880,0.3
520,41680,1.4
530,42480,2.1
540,43280,1.9
550,44080,1.9
560,44880,2.5
570,45680,2.4
580,46480,2.8
590,47280,2.8
600,48080,2.9
610,48880,1.8
620,49680,1.8
630,50480,2.2
640,51280,1.9
650,52080,1.4
660,52880,1.8
670,53680,1.4
680,54480,1.3
690,55280,1.7
700,56080,1.8
710,56880,2.4
720,57680,2.9
730,58480,0.9
740,59280,1.6
750,60080,1.0
760,60880,1.6
770,61680,2.0
780,62480,1.4
790,63280,1.4
800,64080,2.8
810,64880,2.2
820,65680,2.2
830,66480,2.2
840,67280,2.8
850,68080,2.6
860,68880,2.5
870,69680,1.5
880,70480,1.2
890,71280,1.3
900,72080,1.2
910,72880,1.5
920,73680,3.6
930,74480,2.9
940,75280,2.8
950,76080,0.7
960,76880,1.1
970,77680,1.6
980,78480,3.9
990,79280,3.9
1000,80080,3.8
1010,80880,2.2
1020,81680,1.2
1030,82480,2.6
1040,83280,2.9
1050,84080,1.9
1060,84880,2.0
1070,85680,1.9
1080,86480,1.1
1090,87280,1.6
1100,88080,2.3
1110,88880,2.8
1120,89680,2.5
1130,90480,2.6
1140,91280,3.0
1150,92080,3.2
1160,92880,2.6
1170,93680,3.5
1180,94480,3.5
1190,95280,2.5
1200,96080,1.8
1210,96880,2.3
1220,97680,2.9
1230,98480,2.7
1240,99280,3.5
1250,100080,5.1
1260,100880,5.3
1270,101680,4.0
1280,102480,3.9
1290,103280,2.4
1300,104080,3.2
1310,104880,3.2
1320,105680,2.9
1330,106480,2.3
1340,107280,1.6
1350,108080,3.6
1360,108880,3.3
1370,109680,4.6
1380,110480,3.7
1390,111280,1.8
1400,112080,2.8
1410,112880,2.7
1420,113680,2.3
1430,114480,2.3
1440,115280,2.2
1450,116080,1.7
1460,116880,1.7
1470,117680,2.1
1480,118480,1.8
1490,119280,3.1
1500,120080,3.1
1510,120880,2.1
1520,121680,1.1
1530,122480,2.3
1540,123280,1.9
1550,124080,2.4
1560,124880,2.5
1570,125680,3.5
1580,126480,3.6
1590,127280,4.3
1600,128080,4.3
1610,128880,3.8
1620,129680,2.1
1630,130480,1.9
1640,131280,1.9
1650,132080,2.1
1660,132880,3.0
1670,133680,3.0
1680,134480,4.5
1690,135280,6.0
1700,136080,4.7
1710,136880,3.9
1720,137680,3.2
1730,138480,3.2
1740,139280,3.1
1750,140080,2.7
1760,140880,4.5
1770,141680,4.4
1780,142480,1.8
1790,143280,1.4
1800,144080,1.2
1810,144880,0.9
1820,145680,2.0
1830,146480,2.7
1840,147280,3.1
1850,148080,3.5
1860,148880,3.0
1870,149680,3.2
1880,150480,2.5
1890,151280,2.7
1900,152080,2.4
1910,152880,2.6
1920,153680,2.5
1930,154480,3.6
1940,155280,4.4
1950,156080,5.5
1960,156880,3.2
1970,157680,2.7
1980,158480,2.0
1990,159280,2.0
2000,160080,2.2
2010,160880,2.3
2020,161680,1.5
2030,162480,3.1
2040,163280,3.4
2050,164080,1.6
2060,164880,1.5
2070,165680,1.2
2080,166480,2.6
2090,167280,3.9
2100,168080,4.1
2110,168880,4.7
2120,169680,4.7
2130,170480,4.5
2140,171280,4.3
2150,172080,3.4
2160,172880,4.4
2170,173680,4.3
2180,174480,3.8
2190,175280,3.6
2200,176080,3.7
2210,176880,3.8
2220,177680,3.3
2230,178480,3.0
2240,179280,4.1
2250,180080,4.5
2260,180880,4.7
2270,181680,5.0
2280,182480,4.3
2290,183280,4.9
2300,184080,4.7
2310,184880,4.8
2320,185680,5.2
2330,186480,5.2
2340,187280,5.1
2350,188080,5.9
2360,188880,5.0
2370,189680,4.1
2380,190480,3.7
2390,191280,3.6
2400,192080,3.3
2410,192880,3.1
2420,193680,3.2
2430,194480,3.3
2440,195280,2.7
2450,196080,3.0
2460,196880,3.7
2470,197680,4.3
2480,198480,4.5
2490,199280,5.7
2500,200080,6.9
2510,200880,6.7
2520,201680,6.9
2530,202480,7.1
2540,203280,6.8
2550,204080,6.2
2560,204880,6.9
2570,205680,7.4
2580,206480,7.0
2590,207280,7.4
2600,208080,4.9
2610,208880,5.1
2620,209680,6.1
2630,210480,7.4
2640,211280,7.3
2650,212080,7.9
2660,212880,7.9
2670,213680,7.1
2680,214480,5.8
2690,215280,7.4
2700,216080,8.3
2710,216880,9.4
2720,217680,9.4
2730,218480,8.2
2740,219280,7.2
2750,220080,6.4
2760,220880,6.4
2770,221680,6.0
2780,222480,6.6
2790,223280,5.9
2800,224080,6.3
2810,224880,7.1
2820,225680,7.9
2830,226480,9.2
2840,227280,9.1
2850,228080,9.1
2860,228880,8.3
2870,229680,6.6
2880,230480,6.5
2890,231280,8.0
2900,232080,8.0
2910,232880,8.1
2920,233680,8.6
2930,234480,9.0
2940,235280,8.7
2950,236080,8.7
2960,236880,8.7
2970,237680,8.9
2980,238480,8.9
2990,239280,9.1
3000,240080,8.9
3010,240880,9.3
3020,241680,9.6
3030,242480,11.3
3040,243280,11.3
3050,244080,10.6
3060,244880,10.2
3070,245680,10.2
3080,246480,9.6
3090,247280,10.0
3100,248080,9.5
3110,248880,10.1
3120,249680,11.2
3130,250480,11.6
3140,251280,10.4
3150,252080,10.9
3160,252880,10.9
3170,253680,9.9
3180,254480,9.9
3190,255280,10.8
3200,256080,11.0
3210,256880,12.2
3220,257680,12.7
3230,258480,11.6
3240,259280,10.9
3250,260080,10.9
3260,260880,10.9
3270,261680,11.1
3280,262480,10.2
3290,263280,10.2
3300,264080,11.1
3310,264880,12.0
3320,265680,12.1
3330,266480,12.2
3340,267280,12.2
3350,268080,11.7
3360,268880,10.9
3370,269680,10.8
3380,270480,9.5
3390,271280,8.9
3400,272080,8.9
3410,272880,8.9
3420,273680,9.4
3430,274480,9.1
3440,275280,8.7
3450,276080,10.1
3460,276880,10.8
3470,277680,12.2
3480,278480,13.2
3490,279280,12.0
3500,280080,13.3
3510,280880,13.9
3520,281680,12.9
3530,282480,11.1
3540,283280,10.7
3550,284080,10.4
3560,284880,8.5
3570,285680,9.5
3580,286480,10.5
3590,287280,10.5
3600,288080,11.7
3610,288880,12.3
3620,289680,12.3
3630,290480,10.2
3640,291280,10.2
3650,292080,10.1
3660,292880,10.8
3670,293680,10.2
3680,294480,10.2
3690,295280,10.1
3700,296080,11.6
3710,296880,11.6
3720,297680,12.5
3730,298480,12.3
3740,299280,13.7
3750,300080,13.7
3760,300880,14.8
3770,301680,12.8
3780,302480,12.1
3790,303280,12.1
3800,304080,12.2
3810,304880,12.2
3820,305680,11.2
3830,306480,10.9
3840,307280,11.4
3850,308080,12.3
3860,308880,12.7
3870,309680,12.6
3880,310480,12.6
3890,311280,11.7
3900,312080,11.7
3910,312880,12.1
3920,313680,10.4
3930,314480,10.4
3940,315280,9.8
3950,316080,9.7
3960,316880,10.9
3970,317680,10.9
3980,318480,10.9
3990,319280,9.2
4000,320080,9.2
4010,320880,10.7
4020,321680,10.7
4030,322480,11.5
4040,323280,11.9
4050,324080,12.1
4060,324880,13.0
4070,325680,14.1
4080,326480,13.7
4090,327280,13.7
4100,328080,14.5
4110,328880,14.5
4120,329680,11.6
4130,330480,11.6
4140,331280,12.2
4150,332080,11.5
4160,332880,12.1
4170,333680,11.6
4180,334480,11.4
4190,335280,11.7
4200,336080,12.4
4210,336880,12.2
4220,337680,12.2
4230,338480,12.7
4240,339280,12.7
4250,340080,12.7
4260,340880,13.0
4270,341680,13.0
4280,342480,13.3
4290,343280,13.3
4300,344080,13.3
4310,344880,13.7
4320,345680,14.3
4330,346480,13.5
4340,347280,13.5
4350,348080,13.5
4360,348880,13.8
4370,349680,14.2
4380,350480,13.7
4390,351280,15.3
4400,352080,15.3
4410,352880,15.3
4420,353680,15.7
4430,354480,13.7
4440,355280,13.7
4450,356080,13.2
4460,356880,12.2
4470,357680,12.2
4480,358480,12.7
4490,359280,12.9
4500,360080,13.9
4510,360880,15.3
4520,361680,14.0
4530,362480,15.2
4540,363280,14.7
4550,364080,14.1
4560,364880,14.3
4570,365680,14.8
4580,366480,14.6
4590,367280,15.9
4600,368080,15.9
4610,368880,15.8
4620,369680,17.6
4630,370480,16.6
4640,371280,16.8
4650,372080,18.0
4660,372880,17.8
4670,373680,18.0
4680,374480,18.1
4690,375280,16.5
4700,376080,16.5
4710,376880,17.6
4720,377680,17.1
4730,378480,17.3
4740,379280,16.3
4750,380080,15.6
