Updates,total_num_steps,Last 10 mean_episode_rewards
170,13680,-21.0
180,14480,-20.8
190,15280,-20.6
200,16080,-20.4
210,16880,-20.1
220,17680,-19.5
230,18480,-19.2
240,19280,-19.0
250,20080,-19.0
260,20880,-18.9
270,21680,-18.9
280,22480,-18.9
290,23280,-18.9
300,24080,-18.9
310,24880,-18.9
320,25680,-18.9
330,26480,-18.9
340,27280,-18.9
350,28080,-19.5
360,28880,-19.8
370,29680,-20.1
380,30480,-20.1
390,31280,-20.4
400,32080,-20.5
410,32880,-20.5
420,33680,-20.4
430,34480,-20.4
440,35280,-20.4
450,36080,-20.4
460,36880,-20.3
470,37680,-20.3
480,38480,-20.3
490,39280,-20.3
500,40080,-20.3
510,40880,-20.5
520,41680,-20.6
530,42480,-20.6
540,43280,-20.3
550,44080,-20.5
560,44880,-20.7
570,45680,-20.7
580,46480,-20.7
590,47280,-20.7
600,48080,-20.5
610,48880,-20.5
620,49680,-20.5
630,50480,-20.6
640,51280,-20.6
650,52080,-20.6
660,52880,-20.6
670,53680,-20.6
680,54480,-20.6
690,55280,-20.6
700,56080,-20.6
710,56880,-20.6
720,57680,-21.0
730,58480,-21.0
740,59280,-20.8
750,60080,-20.8
760,60880,-20.8
770,61680,-20.8
780,62480,-20.8
790,63280,-20.8
800,64080,-20.8
810,64880,-20.8
820,65680,-20.8
830,66480,-20.8
840,67280,-20.8
850,68080,-20.8
860,68880,-20.8
870,69680,-20.8
880,70480,-20.6
890,71280,-20.6
900,72080,-20.5
910,72880,-20.1
920,73680,-19.9
930,74480,-20.0
940,75280,-20.0
950,76080,-20.0
960,76880,-20.0
970,77680,-20.0
980,78480,-20.0
990,79280,-20.0
1000,80080,-20.0
1010,80880,-20.1
1020,81680,-20.1
1030,82480,-20.3
1040,83280,-20.6
1050,84080,-20.6
1060,84880,-20.8
1070,85680,-20.8
1080,86480,-20.8
1090,87280,-20.8
1100,88080,-20.8
1110,88880,-20.7
1120,89680,-20.7
1130,90480,-20.7
1140,91280,-20.5
1150,92080,-20.5
1160,92880,-20.5
1170,93680,-20.4
1180,94480,-20.4
1190,95280,-20.5
1200,96080,-20.5
1210,96880,-20.5
1220,97680,-20.1
1230,98480,-20.1
1240,99280,-20.1
1250,100080,-20.1
1260,100880,-20.1
1270,101680,-20.4
1280,102480,-20.4
1290,103280,-20.5
1300,104080,-20.4
1310,104880,-20.4
1320,105680,-20.6
1330,106480,-20.6
1340,107280,-20.6
1350,108080,-20.6
1360,108880,-20.6
1370,109680,-20.6
1380,110480,-20.6
1390,111280,-20.6
1400,112080,-20.5
1410,112880,-20.5
1420,113680,-20.5
1430,114480,-20.6
1440,115280,-20.7
1450,116080,-20.7
1460,116880,-20.7
1470,117680,-20.5
1480,118480,-20.3
1490,119280,-20.3
1500,120080,-20.3
1510,120880,-20.3
1520,121680,-20.3
1530,122480,-20.4
1540,123280,-20.4
1550,124080,-20.4
1560,124880,-20.4
1570,125680,-20.3
1580,126480,-20.5
1590,127280,-20.5
1600,128080,-20.5
1610,128880,-20.5
1620,129680,-20.5
1630,130480,-20.6
1640,131280,-20.6
1650,132080,-20.7
1660,132880,-20.7
1670,133680,-20.7
1680,134480,-20.7
1690,135280,-20.5
1700,136080,-20.5
1710,136880,-20.5
1720,137680,-20.5
1730,138480,-20.5
1740,139280,-20.6
1750,140080,-20.5
1760,140880,-20.5
1770,141680,-20.3
1780,142480,-20.3
1790,143280,-20.2
1800,144080,-20.1
1810,144880,-20.2
1820,145680,-20.3
1830,146480,-20.3
1840,147280,-20.3
1850,148080,-20.4
1860,148880,-20.4
1870,149680,-20.4
1880,150480,-20.3
1890,151280,-20.4
1900,152080,-20.5
1910,152880,-20.5
1920,153680,-20.5
1930,154480,-20.5
1940,155280,-20.5
1950,156080,-20.5
1960,156880,-20.6
1970,157680,-20.5
1980,158480,-20.5
1990,159280,-20.7
2000,160080,-20.7
2010,160880,-20.6
2020,161680,-20.6
2030,162480,-20.6
2040,163280,-20.6
2050,164080,-20.6
2060,164880,-20.7
2070,165680,-20.7
2080,166480,-20.7
2090,167280,-20.9
2100,168080,-20.9
2110,168880,-20.9
2120,169680,-20.9
2130,170480,-20.9
2140,171280,-20.9
2150,172080,-20.9
2160,172880,-20.6
2170,173680,-20.6
2180,174480,-20.5
2190,175280,-20.5
2200,176080,-20.3
2210,176880,-20.3
2220,177680,-20.3
2230,178480,-20.3
2240,179280,-20.3
2250,180080,-20.3
2260,180880,-20.5
2270,181680,-20.5
2280,182480,-20.5
2290,183280,-20.5
2300,184080,-20.6
2310,184880,-20.6
2320,185680,-20.8
2330,186480,-20.8
2340,187280,-20.8
2350,188080,-20.8
2360,188880,-20.9
2370,189680,-20.9
2380,190480,-20.8
2390,191280,-20.7
2400,192080,-20.7
2410,192880,-20.7
2420,193680,-20.7
2430,194480,-20.5
2440,195280,-20.5
2450,196080,-20.5
2460,196880,-20.5
2470,197680,-20.5
2480,198480,-20.6
2490,199280,-20.6
2500,200080,-20.6
2510,200880,-20.4
2520,201680,-20.4
2530,202480,-20.2
2540,203280,-20.5
2550,204080,-20.5
2560,204880,-20.3
2570,205680,-20.4
2580,206480,-20.4
2590,207280,-20.4
2600,208080,-20.4
2610,208880,-20.3
2620,209680,-20.3
2630,210480,-20.3
2640,211280,-20.5
2650,212080,-20.4
2660,212880,-20.4
2670,213680,-20.4
2680,214480,-20.4
2690,215280,-20.4
2700,216080,-20.4
2710,216880,-20.6
2720,217680,-20.9
2730,218480,-20.8
2740,219280,-20.6
2750,220080,-20.6
2760,220880,-20.6
2770,221680,-20.6
2780,222480,-20.6
2790,223280,-20.6
2800,224080,-20.6
2810,224880,-20.5
2820,225680,-20.4
2830,226480,-20.4
2840,227280,-20.4
2850,228080,-20.4
2860,228880,-20.4
2870,229680,-20.4
2880,230480,-20.4
2890,231280,-20.7
2900,232080,-20.7
2910,232880,-20.6
2920,233680,-20.6
2930,234480,-20.6
2940,235280,-20.6
2950,236080,-20.6
2960,236880,-20.6
2970,237680,-20.6
2980,238480,-20.4
2990,239280,-20.4
3000,240080,-20.4
3010,240880,-20.4
3020,241680,-20.4
3030,242480,-20.4
3040,243280,-20.5
3050,244080,-20.5
3060,244880,-20.5
3070,245680,-20.5
3080,246480,-20.6
3090,247280,-20.6
3100,248080,-20.6
3110,248880,-20.5
3120,249680,-20.4
3130,250480,-20.4
3140,251280,-20.4
3150,252080,-20.5
3160,252880,-20.5
3170,253680,-20.4
3180,254480,-20.4
3190,255280,-20.5
3200,256080,-20.5
3210,256880,-20.5
3220,257680,-20.5
3230,258480,-20.4
3240,259280,-20.3
3250,260080,-20.5
3260,260880,-20.5
3270,261680,-20.5
3280,262480,-20.6
3290,263280,-20.6
3300,264080,-20.6
3310,264880,-20.7
3320,265680,-20.7
3330,266480,-20.7
3340,267280,-20.8
3350,268080,-20.8
3360,268880,-20.8
3370,269680,-20.8
3380,270480,-20.8
3390,271280,-20.8
3400,272080,-20.8
3410,272880,-20.9
3420,273680,-20.9
3430,274480,-20.9
3440,275280,-20.8
3450,276080,-20.7
3460,276880,-20.8
3470,277680,-20.8
3480,278480,-20.8
3490,279280,-20.7
3500,280080,-20.7
3510,280880,-20.7
