Updates,total_num_steps,Last 10 mean_episode_rewards
80,6480,13.3
90,7280,32.0
100,8080,42.9
110,8880,47.5
120,9680,60.0
130,10480,82.0
140,11280,82.0
150,12080,82.0
160,12880,90.0
170,13680,90.0
180,14480,118.0
190,15280,136.0
200,16080,136.0
210,16880,136.0
220,17680,144.0
230,18480,144.0
240,19280,144.0
250,20080,152.0
260,20880,152.0
270,21680,164.0
280,22480,152.0
290,23280,152.0
300,24080,176.0
310,24880,176.0
320,25680,180.0
330,26480,176.0
340,27280,176.0
350,28080,172.0
360,28880,154.0
370,29680,154.0
380,30480,144.0
390,31280,144.0
400,32080,144.0
410,32880,146.0
420,33680,146.0
430,34480,142.0
440,35280,142.0
450,36080,142.0
460,36880,142.0
470,37680,160.0
480,38480,166.0
490,39280,174.0
500,40080,174.0
510,40880,194.0
520,41680,218.0
530,42480,218.0
540,43280,218.0
550,44080,240.0
560,44880,268.0
570,45680,268.0
580,46480,272.0
590,47280,272.0
600,48080,272.0
610,48880,310.0
620,49680,338.0
630,50480,338.0
640,51280,338.0
650,52080,326.0
660,52880,326.0
670,53680,346.0
680,54480,346.0
690,55280,346.0
700,56080,346.0
710,56880,356.0
720,57680,350.0
730,58480,308.0
740,59280,330.0
750,60080,312.0
760,60880,308.0
770,61680,288.0
780,62480,300.0
790,63280,300.0
800,64080,298.0
810,64880,298.0
820,65680,278.0
830,66480,310.0
840,67280,310.0
850,68080,310.0
860,68880,310.0
870,69680,326.0
880,70480,334.0
890,71280,330.0
900,72080,318.0
910,72880,320.0
920,73680,314.0
930,74480,314.0
940,75280,314.0
950,76080,306.0
960,76880,306.0
970,77680,266.0
980,78480,266.0
990,79280,298.0
1000,80080,298.0
1010,80880,300.0
1020,81680,300.0
1030,82480,282.0
1040,83280,290.0
1050,84080,292.0
1060,84880,282.0
1070,85680,258.0
1080,86480,250.0
1090,87280,238.0
1100,88080,238.0
1110,88880,246.0
1120,89680,262.0
1130,90480,254.0
1140,91280,258.0
1150,92080,254.0
1160,92880,254.0
1170,93680,254.0
1180,94480,270.0
1190,95280,264.0
1200,96080,272.0
1210,96880,268.0
1220,97680,278.0
1230,98480,278.0
1240,99280,236.0
1250,100080,236.0
1260,100880,260.0
1270,101680,256.0
1280,102480,268.0
1290,103280,268.0
1300,104080,268.0
1310,104880,268.0
1320,105680,268.0
1330,106480,276.0
1340,107280,292.0
1350,108080,300.0
1360,108880,300.0
1370,109680,318.0
1380,110480,318.0
1390,111280,318.0
1400,112080,318.0
1410,112880,380.0
1420,113680,380.0
1430,114480,380.0
1440,115280,380.0
1450,116080,386.0
1460,116880,400.0
1470,117680,400.0
1480,118480,400.0
1490,119280,394.0
1500,120080,418.0
1510,120880,418.0
1520,121680,362.0
1530,122480,374.0
1540,123280,378.0
1550,124080,378.0
1560,124880,378.0
1570,125680,378.0
1580,126480,378.0
1590,127280,378.0
1600,128080,378.0
1610,128880,378.0
1620,129680,376.0
1630,130480,370.0
1640,131280,370.0
1650,132080,374.0
1660,132880,374.0
1670,133680,374.0
1680,134480,404.0
1690,135280,436.0
1700,136080,418.0
1710,136880,458.0
1720,137680,458.0
1730,138480,458.0
1740,139280,458.0
1750,140080,444.0
1760,140880,444.0
1770,141680,466.0
1780,142480,466.0
1790,143280,466.0
1800,144080,466.0
1810,144880,402.0
1820,145680,402.0
1830,146480,402.0
1840,147280,402.0
1850,148080,402.0
1860,148880,400.0
1870,149680,402.0
1880,150480,402.0
1890,151280,402.0
1900,152080,402.0
1910,152880,414.0
1920,153680,414.0
1930,154480,414.0
1940,155280,400.0
1950,156080,402.0
1960,156880,402.0
1970,157680,402.0
1980,158480,402.0
1990,159280,402.0
2000,160080,394.0
2010,160880,394.0
2020,161680,394.0
2030,162480,394.0
2040,163280,454.0
2050,164080,454.0
2060,164880,490.0
2070,165680,484.0
2080,166480,484.0
2090,167280,484.0
2100,168080,484.0
2110,168880,516.0
2120,169680,536.0
2130,170480,546.0
2140,171280,546.0
2150,172080,546.0
2160,172880,566.0
2170,173680,566.0
2180,174480,566.0
2190,175280,578.0
2200,176080,578.0
2210,176880,556.0
2220,177680,556.0
2230,178480,568.0
2240,179280,560.0
2250,180080,560.0
2260,180880,560.0
2270,181680,560.0
2280,182480,560.0
2290,183280,558.0
2300,184080,558.0
2310,184880,550.0
2320,185680,548.0
2330,186480,548.0
2340,187280,548.0
2350,188080,530.0
2360,188880,530.0
2370,189680,530.0
2380,190480,532.0
2390,191280,532.0
2400,192080,532.0
2410,192880,520.0
2420,193680,520.0
2430,194480,520.0
2440,195280,524.0
2450,196080,524.0
2460,196880,524.0
2470,197680,530.0
2480,198480,514.0
2490,199280,520.0
2500,200080,520.0
2510,200880,528.0
2520,201680,510.0
2530,202480,510.0
2540,203280,492.0
2550,204080,492.0
2560,204880,468.0
2570,205680,458.0
2580,206480,458.0
2590,207280,458.0
2600,208080,458.0
2610,208880,458.0
2620,209680,450.0
2630,210480,450.0
2640,211280,450.0
2650,212080,446.0
2660,212880,446.0
2670,213680,446.0
2680,214480,446.0
2690,215280,452.0
2700,216080,452.0
2710,216880,438.0
2720,217680,444.0
2730,218480,444.0
2740,219280,444.0
2750,220080,444.0
2760,220880,444.0
2770,221680,444.0
2780,222480,450.0
2790,223280,468.0
2800,224080,468.0
2810,224880,468.0
2820,225680,476.0
2830,226480,484.0
2840,227280,488.0
2850,228080,492.0
2860,228880,508.0
